,Type,Date,Price,Size
0,BUY,2018-03-19,104.73654174804688,763
1,SELL,2018-03-20,104.36024475097656,763
2,BUY,2018-03-21,106.8375473022461,746
3,SELL,2018-04-03,106.21038055419922,746
4,BUY,2018-04-17,110.9768295288086,714
5,SELL,2018-04-23,108.8758316040039,714
6,BUY,2018-04-25,107.7782974243164,721
7,SELL,2018-04-26,107.87236785888672,721
8,BUY,2018-08-23,103.07455444335938,754
9,SELL,2018-08-28,105.55187225341795,754
10,BUY,2018-08-30,106.42989349365234,748
11,SELL,2018-08-31,107.5587921142578,748
12,BUY,2018-09-06,107.45731353759766,749
13,SELL,2018-09-11,107.99810791015624,749
14,BUY,2018-09-12,108.15717315673828,748
15,SELL,2018-09-19,107.61636352539062,748
16,BUY,2018-09-21,107.04376983642578,752
17,SELL,2018-09-24,106.82111358642578,752
18,BUY,2018-09-25,108.15717315673828,742
19,SELL,2018-09-26,106.75748443603516,742
20,BUY,2019-02-25,91.67053985595705,865
21,SELL,2019-03-08,99.41043853759766,865
22,BUY,2019-03-11,98.88790893554688,869
23,SELL,2019-03-22,105.53704833984376,869
24,BUY,2019-03-25,106.08570098876952,865
25,SELL,2019-04-10,105.49786376953124,865
26,BUY,2019-05-28,103.93028259277344,878
27,SELL,2019-06-14,104.0478515625,878
28,BUY,2019-06-25,108.51545715332033,842
